(x^3-2*x-1) ,\[f\left( x \right) = {x^3} - 2x - 1{\text{ than }}f\left( { - 2} \right) = ?\],1,AP;Algebra
(x-1)/((x^2)+1),\[{\text{domain of }}f\left( x \right) = \frac{{x - 1}}{{{x^2} + 1}}\],2,AP;Domain;Function
(sqrt(x-2))/((x^2)-x),\[{\text{domain of }}g\left( x \right) = \frac{{\sqrt {x - 2} }}{{{x^2} - x}}\],3,AP;Domain;Function
"((x^3)-(3(x^2))-(2^x)+5),g(x)=2,g(f(x))",\[\begin{gathered}  f\left( x \right) = {x^3} - 3{x^2} - 2x + 5 \hfill \\  {\text{g}}\left( x \right) = 2 \hfill \\  g\left( {f\left( x \right)} \right) = ? \hfill \\ \end{gathered} \],3,AP;Algebra;Function of Function
"((x^3)+(A(x^2))+Bx-3),2A+B",\[f\left( x \right) = {x^3} + A{x^2} + Bx - 3\]\[f\left( 1 \right) = 4{\text{ and }}f\left( { - 1} \right) =  - 6\]\[2A + B = ?\],3,AP;Algebra
sin(arctan x),"\[f\left( x \right) = \sin \left( {\arctan x} \right)\],\[{\text{range of }}f = ?\]",3,AP;Range;Trigonometric Function
"roots of the equation f(x), f(2x)",\[{\text{roots of the equation }}f\left( x \right) = 0{\text{ are 1 and  - 2}}\]\[{\text{roots of }}f\left( {2x} \right) = 0{\text{ are?}}\],3,AP;Roots;Function
"set of zeros of f(x),((x^3)+(4(x^2))+4x)",\[{\text{set of zeros of }}f\left( x \right) = {x^3} + 4{x^2} + 4x\],3,AP;Roots;Function
values of x for which the graphs of (y=x+2) and ((y^2)=4x) intesect,\[{\text{The values of }}x{\text{ for  which the graphs of }}\]\[y = x + 2{\text{ and }}{y^2}{\text{ = 4}}x{\text{ intersect are?}}\],3,AP;Roots;Function
function whose graph is a reflection in the y-axis of the graph of f(x),\[{\text{The function whose graph is a reflection in the}}\]\[y - {\text{axis of the graph of }}f\left( x \right) = 1 - {3^{^x}}\],3,AP;Function
"f(x),g(x),f(g(x))",\[f\left( x \right){\text{ inverse function }}g\left( x \right)\]\[f\left( {g\left( x \right)} \right) = ?\],3,AP;Function;Inverse
"f(x),(2(x^3)+x-5),real zero",\[f\left( x \right){\text{ }} = 2{x^3} + x - 5{\text{ has one real zero between?}}\],3,AP;Roots;Function
"f(x),(sin(2pi/3)*x)",\[{\text{The period of }}f\left( x \right) = \sin \frac{{2\pi }}{3}x\],3,AP;Function;Periodicity
"y,f(x),ln(cosx)",\[{\text{The range of }}y = f\left( x \right) = \ln \left( {\cos x} \right){\text{is}}\],3,AP;Range;Trigonometric Function;Logarithmic
"logx(3^x),x/2","\[{\text{The }}{\log _x}\left( {{3^x}} \right) = \frac{x}{2},{\text{ than }}x = ?\]",3,AP;Roots;Function;Equation
"f(x),((x^3)+2),(f^-1)(x)",\[{\text{The }}{f^{ - 1}}{\text{ be the inverse functin of}}\]\[f\left( x \right) = {x^3} + 2{\text{ then }}{f^{ - 1}}\left( x \right) = ?\],3,AP;Function;Inverse
"f(x),((x^3)-(2(x^2))-x+2)",\[{\text{The set of  }}x - {\text{intercepts of the graph of }}\]\[f\left( x \right) = {x^3} - 2{x^2} - x + 2{\text{ is?}}\],3,AP;Roots;Function
"(-pi/2,pi/2),f(x),(e^tanx)","\[{\text{If the domain of }}f{\text{ is restricted to the open interval }}\left( { - \frac{\pi }{2},\frac{\pi }{2}} \right)\]\[{\text{the range of }}f\left( x \right) = {e^{\tan x}}{\text{ is?}}\]",3,AP;Range;Trigonometric Function;Exponential;Tangent
"reflection of the graph of y,f(x),x-axis",\[{\text{The reflection of the graph of }}y = f\left( x \right)\]\[\operatorname{in} {\text{ the }}x{\text{ - axis is?}}\],2,AP;Algebra
"f(x),(sin(x/3)-1),smallest,maximum",\[{\text{The smallest postive }}x{\text{ forwhich the function }}f\left( x \right) = \sin \left( {\frac{x}{3}} \right) - 1\]\[{\text{is a maximum is ?}}\],4,AP;Maxima;Derivative application
tan(arccos(-(sqrt2)/2)),\[\tan \left( {\arccos \left( { - \frac{{\sqrt 2 }}{2}} \right)} \right) = ?\],3,AP;Trigonometic Equation
"f(x),inverse,2e^x,(f^-1)(x)",\[f\left( x \right){\text{ is inverse of }}f\left( x \right) = 2{e^{ - x}}\]\[{\text{then }}{f^{ - 1}}\left( x \right) = ?\],3,AP;Function;Inverse;Exponential
"f(x),lnx,g(x),(9-(x^2)),(f(g(x)))",\[{\text{suppose that }}f\left( x \right) = \ln x{\text{ for all positive }}x{\text{ }}\]\[{\text{and }}g\left( x \right) = 9 - {x^2}{\text{ for all real }}x\]\[{\text{domain of }}f\left( {g\left( x \right)} \right) = ?\],3,AP;Domain;Function
"f(x),lnx,g(x),(9-(x^2)),(f(g(x)))",\[{\text{suppose that }}f\left( x \right) = \ln x{\text{ for all positive }}x\]\[{\text{and }}g\left( x \right) = 9 - {x^2}{\text{ for all real }}x\]\[{\text{range of }}y = f\left( {g\left( x \right)} \right) = ?\],3,AP;Domain;Function
"limits(xto2)(((x^2)-4)/((x^2)+4)),lim(xto2)",\[\mathop {\lim }\limits_{x \to 2} \frac{{{x^2} - 4}}{{{x^2} + 4}}\],4,AP;Limits;Quotient Rule;Power Rule
"limits(xtoinfinity)((4-(x^2))/((x^2)-1)),lim(xto infinity)",\[\mathop {\lim }\limits_{x \to \infty } \frac{{4 - {x^2}}}{{{x^2} - 1}}\],4,AP;Limits;Quotient Rule
"lim(x to 3)((x-3)/((x^20-(2*x)-3)),im(x to 3)",\[\mathop {\lim }\limits_{x \to 3} \frac{{x - 3}}{{{x^2} - 2x - 3}}\],2,AP;Limits
"lim(x to 0)(x/x),lim(x to 0)",\[\mathop {\lim }\limits_{x \to 0} \frac{x}{x}\],2,AP;Limits
"lim(x to 2)(((x^3)-8)/((x^2)-4)),lim(x to 2)",\[\mathop {\lim }\limits_{x \to 2} \frac{{{x^3} - 8}}{{{x^2} - 4}}\],4,AP;Limits;Quotient Rule;Power Rule
"lim(x to inf)((40(x^2))/((4(x^2))-x-2)),lim(x to inf)",\[\mathop {\lim }\limits_{x \to \infty } \frac{{4 - {x^2}}}{{4{x^2} - x - 2}}\],3,AP;Limits
"lim(x to -inf)(((5(x^3))+27)/((20(x^2))+10x+9)),lim(x to inf)",\[\mathop {\lim }\limits_{x \to  - \infty } \frac{{5{x^3} + 27}}{{20{x^2} + 10x + 9}}\],3,AP;Limits
"lim(x to inf)(((3x^2)+27)/((x^3)-27)),lim(x to inf)",\[\mathop {\lim }\limits_{x \to \infty } \frac{{3{x^2} + 27}}{{{x^3} - 27}}\],4,AP;Limits;Quotient Rule
"lim(x to inf)((2x^-x)/2x)),lim(x to inf)",\[\mathop {\lim }\limits_{x \to \infty } \frac{{2{x^{ - x}}}}{{2x}}\],2,AP;Limits
"lim(x to -inf)((2x^-x)/2x)),lim(x to inf)",\[\mathop {\lim }\limits_{x \to  - \infty } \frac{{2{x^{ - x}}}}{{2x}}\],2,AP;Limits
,,,
"lim(x to 3)(y=((x^2)-9)/(3x-9)),lim(x to 3)",\[{\text{ }}\mathop {\lim }\limits_{x \to 3} y = \frac{{{x^2} - 9}}{{3x - 9}}\],2,AP;Limits
"lim(x to 0)(sinx/((x^2)+3x)),lim(x to 0)",\[\mathop {\lim }\limits_{x \to 0} \frac{{\sin x}}{{{x^2} + 3x}}\],3,AP;Limits;L'Hospital's Rule;
"lim(x to 0)(sin(1/x)),lim(x to 0)",\[\mathop {\lim }\limits_{x \to 0} \sin \frac{1}{x}\],,
"lim(x to inf)(sin(((x^2)+1)/((2x-1)(2+x)))),lim(x to inf)",\[\mathop {\lim }\limits_{x \to \infty } \sin \frac{{2{x^2} + 1}}{{\left( {2x - 1} \right)\left( {2 + x} \right)}}\],2,AP;Limits
"lim(x to 0)(fracx/x),lim(x to 0)",\[\mathop {\lim }\limits_{x \to 0} \frac{{\left| x \right|}}{x}\],2,AP;Limits
"lim(x to inf)(xsin(1/x)),lim(x to 0)",\[\mathop {\lim }\limits_{x \to \infty } x\sin \frac{1}{x}\],4,AP;Limits;L'Hospital's Rule;sine;trigonometric
"lim(x to p)(x((sin(pi-x))/(pi-x))),lim(x to pi)",\[\mathop {\lim }\limits_{x \to \pi } x\frac{{\sin \left( {\pi  - x} \right)}}{{\pi  - x}}\],3,AP;Limits;sine;trigonometric
graph of f(x)=4/((x^2)-1),\[{\text{graph of }}f\left( x \right) = \frac{4}{{{x^2} - 1}}\],2,AP;Function
graph ofy=((2(x^2))+(2x)+3)/((4(x^2))-4x),\[{\text{graph of }}y = \frac{{2{x^2} + 2x + 3}}{{4{x^2} - 4x}}\],2,AP;Function
,,,
lim(xto-2)floor(x),\[\mathop {\lim }\limits_{x \to  - 2} \left\lfloor x \right\rfloor {\text{  = ?}}\],3,AP;Limits;Floor Function;Discontinuous 
lim(xtoinf)sinx,\[\mathop {\lim }\limits_{x \to \infty } \sin x\],3,AP;Limits;sine;trigonometric
lim(x to 2)f(x),\[\mathop {\lim }\limits_{x \to 2} f\left( x \right)\],3,AP;Limits;sine;trigonometric
,,,
lim(x to 0)sqrt(3+arctan(1/x)),\[\mathop {\lim }\limits_{x \to 0} \sqrt {3 + \arctan \frac{1}{x}} \],3,AP;Limits;trigonometric;tangent;inverse
