"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem1/question/question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20000-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20000-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem1/options/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem1/options/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem1/options/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem1/options/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem2/question/question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20001-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20001-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem2/options/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem2/options/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem2/options/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem2/options/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem3/question/question3.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20002-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20002-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem3/options/option3_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem3/options/option3_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem3/options/option3_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem3/options/option3_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem4/question/question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20003-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20003-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem4/options/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem4/options/option4_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem4/options/option4_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem4/options/option4_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem5/question/question5.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20004-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20004-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem5/options/option5_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem5/options/option5_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem5/options/option5_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem5/options/option5_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem6/question/question6.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20005-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20005-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem6/options/option6_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem6/options/option6_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem6/options/option6_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem6/options/option6_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem7/question/question7.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20006-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20006-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem7/options/option7_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem7/options/option7_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem7/options/option7_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem7/options/option7_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem8/question/question8.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20007-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20007-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem8/options/option8_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem8/options/option8_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem8/options/option8_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem8/options/option8_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"differential-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/differential-calculus/problems/problem9/question/question9.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20008-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/differential-calculus2/20008-differential-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem9/options/option9_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/differential-calculus/problems/problem9/options/option9_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
