group,problem_text,correct_answers,incorrect_options,level,point_value,result_text,status 
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem31/question/question31.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem31/options/option31_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem31/options/option31_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem31/options/option31_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem31/options/option31_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem32/question/question32.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem32/options/option32_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem32/options/option32_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem32/options/option32_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem32/options/option32_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem33/question/question33.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem33/options/option33_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem33/options/option33_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem33/options/option33_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem33/options/option33_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem34/question/question34.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem34/options/option34_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem34/options/option34_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem34/options/option34_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem34/options/option34_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem35/question/question35.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem35/options/option35_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem35/options/option35_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem35/options/option35_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem35/options/option35_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem36/question/question36.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem36/options/option36_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem36/options/option36_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem36/options/option36_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem36/options/option36_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem37/question/question37.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem37/options/option37_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem37/options/option37_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem37/options/option37_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem37/options/option37_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem38/question/question38.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem38/options/option38_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem38/options/option38_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem38/options/option38_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem38/options/option38_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem39/question/question39.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem39/options/option39_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem39/options/option39_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem39/options/option39_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem39/options/option39_4.jpg" alt="" /></p>,1,1,,1
1,<p>Solve the following integral</p><p><img src="images/integral-calculus/problems/problem40/question/question40.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem40/options/option40_1.jpg" alt="" /></p>,<p><img src="images/integral-calculus/problems/problem40/options/option40_2.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem40/options/option40_3.jpg" alt="" /></p>|<p><img src="images/integral-calculus/problems/problem40/options/option40_4.jpg" alt="" /></p>,1,1,,1
