integral(sinx/cos^2(x))dx, \[y = \int {{\textstyle{{\sin \theta } \over {{{\cos }^2}\theta }}}d\theta } \],3,Integral;Trigonometric Substitution
integral (sin(2x)/sin(x)), \[y = \int {{\textstyle{{\sin 2x} \over {\sin x}}}dx} \],4,Integral;Trigonometric Substitution
integral(1+cos^2(x)/cos^2(x)), \[y = \int {{\textstyle{{1 + {{\cos }^2}\theta } \over {{{\cos }^2}\theta }}}d\theta } \],5,Integral;Trigonometric Substitution
integral(modulus(sin(x))), \[y = \int\limits_0^\pi  {\left| {\sin x} \right|dx} \],5,Integral;Trigonometric
integral(2x *sqrt(1+x^2)), \[y = \int {2x\sqrt {1 + {x^2}} } dx\],3,Integral;Substitution
integral(tan(x)), \[y = \int {\tan xdx} \],2,Integral;Trigonometric Substitution
integral(exp(x)/(1-exp(x))^2, \[y = \int {\frac{{{e^x}}}{{{{(1 - {e^x})}^2}}}} dx\],3,Integral;Exponential  Substitution
integral(arctan(x)/(1+x^2)), \[y = \int {\frac{{{{\tan }^{ - 1}}x}}{{1 + {x^2}}}dx} \],4,Integral;Substitution;Inverse Trigonometric
integral(x*sin(x), \[y = \int {x\sin xdx} \],4,Integral;Trigonometric;Integration by Parts
integral(ln(x)), \[y = \int {\ln xdx} \],3,Integral;Logarithmic;Integration by Parts
integral((x^2)*exp(x)), \[y = \int {{t^2}{e^t}dt} \],4,Integral;Exponential;Integration by Parts
integral(exp(x)*sin(x)), \[y = \int {{e^x}\sin xdx} \],5,Integral;Trigonometric;Exponential;Integration by Parts
integral(arctan(x)), % \[y = \int {{{\tan }^{ - 1}}xdx} \],5,Integral;Trigonometric;Integration by Parts
integral(sin(x)/cos^2(x)), \[y = \int {{{\sin }^n}xdx} \],3,Integral;Trigonometric;Substitution
integral((x^2)*ln(x)), \[y = \int {{x^2}\ln xdx} \],4,Integral;Logarithmic;Integration by Parts
integral(x*cos(x)), \[y = \int {x\cos xdx} \],4,Integral;Trigonometric;Integration by Parts
integral(arctan(4*x)), \[y = \int {{{\tan }^{ - 1}}4tdt} \],4,Integral;Substitution;Inverse Trigonometric
integral(cos(sqrt(x))), \[y = \int {\cos \sqrt x dx} \],5,Integral;Substitution;Trigonometric;Integration by Parts
integral((x^3)*cos(x^2)), \[y = \int {{x^3}\cos {x^2}dx} \],5,Integral;Substitution;Trigonometric;Integration by Parts
integral((x^(3/2))*ln(x)), \[y = \int {{x^{{\raise0.5ex\hbox{$\scriptstyle 3$},4,Integral;Logarithmic;Integration by Parts
integral(cos^3(x)), \[y = \int {{{\cos }^3}xdx} \],5,Integral;Trigonometric;Substitution
integral(tan^6(x)*sec^4(x)), \[y = \int {{{\tan }^6}x{{\sec }^4}xdx} \],5,Integral;Trigonometric;Substitution
integral(tan^5(x)*sec^7(x)), \[y = \int {{{\tan }^5}x{{\sec }^7}xdx} \],5,Integral;Trigonometric;Substitution
integral(sin(4*x)*cos(5*x)), \[y = \int {\sin 4xcos5xdx} \],5,Integral;Trigonometric;Substitution
