"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"integral-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/integral-calculus/problems/problem1/question/question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64000-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64000-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem1/options/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem1/options/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem1/options/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem1/options/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"integral-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/integral-calculus/problems/problem2/question/question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64001-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64001-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem2/options/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem2/options/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem2/options/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem2/options/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"integral-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/integral-calculus/problems/problem3/question/question3.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64002-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64002-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem3/options/option3_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem3/options/option3_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem3/options/option3_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem3/options/option3_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"integral-calculus","mchoice","",<p>Solve the following: </p><p><img src="images/integral-calculus/problems/problem4/question/question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64003-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/integral-calculus/64003-integral-calculus.1"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem4/options/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem4/options/option4_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem4/options/option4_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/integral-calculus/problems/problem4/options/option4_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
