"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem1/question/question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109000-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109000-limits"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem1/options/forQuiz/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem1/options/forQuiz/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem1/options/forQuiz/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem1/options/forQuiz/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem2/question/question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109001-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109001-limits"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem2/options/forQuiz/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem2/options/forQuiz/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem2/options/forQuiz/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem2/options/forQuiz/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem3/question/question3.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109002-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109002-limits"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem3/options/forQuiz/option3_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem3/options/forQuiz/option3_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem3/options/forQuiz/option3_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem3/options/forQuiz/option3_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem4/question/question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109003-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109003-limits"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem4/options/forQuiz/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem4/options/forQuiz/option4_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem4/options/forQuiz/option4_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem4/options/forQuiz/option4_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem5/question/question5.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109004-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109004-limits"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem5/options/forQuiz/option5_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem5/options/forQuiz/option5_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem5/options/forQuiz/option5_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem5/options/forQuiz/option5_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"limits","mchoice","",<p>Solve the following: </p><p><img src="images/limits/problems/problem6/question/question6.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/limits/109005-limits"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/limits/109005-limits"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem6/options/forQuiz/option6_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem6/options/forQuiz/option6_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem6/options/forQuiz/option6_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/limits/problems/problem6/options/forQuiz/option6_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
