"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"usmle-step1","mchoice","",<p>A 25-year-old woman is brought to the emergency department 1 hour after she fainted.  She has had mild intermittent vaginal bleeding; sometimes associated with lower abdominal pain; during the past 3 days. She has had severe cramping pain in the right lower abdomen for 12 hours. She has not had a menstrual period for 3 months; previously; menses occurred at regular 28-day intervals. Abdominal examination shows mild tenderness to palpation in the right lower quadrant. Bimanual pelvic examination shows a tender walnut-sized mass in the right parametrium. Which of the following is the most likely diagnosis? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140000-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140000-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Ectopic pregnancy</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Appendicitis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Cancer of the ovary</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Endometriosis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Ovarian cyst</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Placenta previa</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 12-year-old girl with a 1-year history ofsystemic lupus erythematosus is brought to thephysician for a routine follow-up examination.During the past year she has done well with theexception of occasional mild frontal headaches;fatigue; and arthralgias; the results of regularlaboratory evaluations have been stable. She hasmissed 20 days of school in the past 4 months.Her parents express concern that sending her toschool might cause her to be exposed to childrenwith contagious diseases that might exacerbatetheir daughter's condition. The girl tells thephysician that she misses seeing her manyfriends at school. Passive motion of the elbows;wrists; and knees produces mild discomfort.Physical examination shows no otherabnormalities. Which of the following is themost likely cause of this patient's excessiveschool absences? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140001-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140001-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Vulnerable child syndrome</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Lupus arthritis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Lupus cerebritis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Malingering</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>School phobia</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 4-year-old boy has delayed motordevelopment and choreoathetosis. He had normaldevelopment at birth. He chews his fingers andlips; which has resulted in tissue loss. He hasarthritis. Serum and urine uric acidconcentrations are increased. Which of thefollowing abnormalities is the most likely causeof these findings? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140002-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140002-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Hypoxanthine-guanine phosphoribosyltransferase deficiency</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Adenine phosphoribosyltransferase deficiency</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Increased cellular turnover of nucleic acids</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Increased conversion of hypoxanthine to inosine monophosphate</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Phosphoribosylpyrophosphate synthetase deficiency</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 42-year-old woman comes to the physician fora routine examination. She says that she has feltwell except for occasional episodes ofconstipation; abdominal discomfort; and mildfatigue. She was treated for a renal calculus 10years ago and was told she had a "lazygallbladder." Her pulse is 82/min; and bloodpressure is 150/80 mm Hg. Physical examinationshows no other abnormalities. Laboratory studiesshow:Erythrocyte count 	3 million/mm3SerumK+		 	4.5 mEq/LCl-		 	107 mEq/LCa2+ 		 	12 mg/dLPhosphorus 		2.2 mg/dLAlkaline phosphatase 	95 U/LThe most likely cause of this patient's conditionis a small; well-defined nodule in which of thefollowing locations? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140003-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140003-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Parathyroid gland</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Adrenal gland</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Anterior pituitary gland</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Gallbladder</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Kidney</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Thymus</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 12-year-old girl with sickle cell disease haspain in her right arm. An x-ray of the right upperextremity shows bony lesions consistent withosteomyelitis. Which of the following is the mostlikely causal organism? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140005-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140005-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Salmonella enteritidis</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Clostridium septicum</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Enterococcus faecalis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Listeria monocytogenes</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Pseudomonas aeruginosa</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Pseudomonas aeruginosa</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Serratia marcescens</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 62-year-old woman comes to the physicianbecause of low back pain for 1 week. Menopauseoccurred 10 years ago. Physical examinationshows localized tenderness over the lumbar spineafter movement. X-rays of the spine show acompression fracture of L1-2. A DEXA scanshows decreased bone mineral density. Serumcalcium and phosphorus concentrations andserum alkaline phosphatase activity are withinthe reference ranges. A bisphosphonate drug isprescribed. The expected beneficial effect of thisdrug is most likely due to which of the followingactions? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140007-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140007-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Decreased osteoclast activity</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Decreased insulin-like growth factor-1 concentration</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Decreased osteoprotegerin production</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Increased 1;25-dihydroxycholecalciferol concentration</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Increased osteoblast activity</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Increased receptor activator of NF-κB ligand (RANKL) production</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>Hospital discharge of a 75-year-old man is delayed due to unavailability of a bed in a nursing home. He is bedriddenand unable to attend to his personal needs. During a 3-day period; his pulse increases from 82/min to 125/min; andblood pressure decreases from 124/72 mm Hg to 100/55 mm Hg. Laboratory values include:			Day 1 						Day 3Hemoglobin 		16.4 g/dL 					18.4 g/dLSerumUrea nitrogen 		18 mg/dL 					56 mg/dLGlucose 		100 mg/dL 					89 mg/dLNa+ 			135 mEq/L 					151 mEq/LCreatinine 		1.1 mg/dL 					1.2 mg/dLWhich of the following is the most likely diagnosis? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140008-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140008-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Dehydration</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Acute renal failure</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Diabetic ketoacidosis</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Gastrointestinal hemorrhage</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Syndrome of inappropriate ADH (vasopressin)</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 76-year-old man with a history of prostatichypertrophy has the recent onset of increaseddifficulty urinating. Symptoms began shortlyafter he started taking a nasal decongestant orallyfor cold symptoms. Which of the following typesof receptors is most likely to be involved in theseadverse effects? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140009-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140009-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>α1-Adrenergi</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>β2-Adrenergic</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Ganglionic nicotinic</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Nicotinic receptor at the neuromuscular junction</p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p>Serotoninergic</p>,"0","","","","Incorrect: Check solution",""
"usmle-step1","mchoice","",<p>A 15-year-old girl is brought to the physicianbecause of a 3-week history of excessive thirstand voiding excessive amounts of urine. Sheshows no signs of kidney damage; and she is nottaking any medications. Physical examinationshows no abnormalities. She undergoes an 8-hour water deprivation test. She is also given5 units of ADH (vasopressin); subcutaneously.Under both conditions; she continues to producelarge volumes of dilute urine. Her symptoms aremost likely due to a relative lack of which of thefollowing proteins from the apical membranes ofcollecting duct epithelial cells? </p><p></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140010-usmle-step1"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/usmle-step1/140010-usmle-step1"  target="_blank"/>Click for Complete solution</a> 
"","","TRUE",<p>Aquaporin</p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p>Epithelial Na+ channel</p>,"0","","","","Incorrect: Check solution",""
