(1/2)-(1/x)=(((x^2)-1)/(x))-((2x-1)/2),\[\frac{{{x^2} - 1}}{x} - \frac{{2x - 1}}{2} = \frac{1}{2} - \frac{1}{x}\]
(1/(x-1))-(1/(x+1))=(2/((x^2)-1)),\[\frac{1}{{x - 1}} - \frac{1}{{x + 1}} = \frac{2}{{{x^2} - 1}}\]
(1/(1+x))-((x^2)/(1+x))=(1-x),\[\frac{1}{{1 + x}} - \frac{{{x^2}}}{{1 + x}} = 1 - x\]
((1+(x^2))/(1-(x^2)))-(x/(1-x))=(1/(1+x)),\[\frac{{1 + {x^2}}}{{1 - {x^2}}} - \frac{x}{{1 - x}} = \frac{1}{{1 + x}}\]
(1/x)((x-1)^2)=(x-2+(1/x)),\[\frac{1}{x}{(x - 1)^2} = x - 2 + \frac{1}{x}\]
((x^2)-2x+1)/((x^2)-1)=(x-1)/(x+1),\[\frac{{{x^2} - 2x + 1}}{{{x^2} - 1}} = \frac{{x - 1}}{{x + 1}}\]
(((x^2)+(y^2))/((x^4)-(y^4))).((1/y)-(1/x))=(1/xy(x+y)),\[\frac{{{x^2} + {y^2}}}{{{x^4} - {y^4}}}.\left( {\frac{1}{y} - \frac{1}{x}} \right) = \frac{1}{{xy(x + y)}}\]
(x(x+1))-(y(y+1))=(x+1+y)(x-y),\[x(x + 1) - y(y + 1) = (x + 1 + y)(x - y)\]
sin2x=sin2x+sinx,\[\sin 2x = \sin 2x + \sin x\]
sin(x-pi)=-sinx,\[\sin (x - \pi ) =  - \sin x\]
(cscx/sinx)+(secx/cosx)=1,\[\frac{{\csc x}}{{\sin x}} + \frac{{\sec x}}{{\cos x}} = 1\]
(cos((pi/4)+x))=((sqrt2/2)cosx)+((sqrt2/2)sinx),\[\cos \left( {\frac{\pi }{4} + x} \right) = \frac{{\sqrt 2 }}{2}\cos x + \frac{{\sqrt 2 }}{2}\sin x\]
((cos^2)x)-((sin^2)x)=(1-2(sin^2)x),\[{\cos ^2}x - {\sin ^2}x = 1 - 2{\sin ^2}x\]
(-sin(-x))=sinx,\[ - \sin ( - x) = \sin x\]
((sinx+cosx)^2)=1,\[{(\sin x + \cos x)^2} = 1\]
(sin(x+pi))=sin(x-pi),\[sin(x + \pi ) = \sin (x - \pi )\]
((sec^2)x)(1-(cos^2)x)=(tan^2)x,\[({\sec ^2}x)(1 - {\cos ^2}x) = {\tan ^2}x\]
